T0.0199999995529652,1.970743,-0.02917289,0.007975251,-0.01571709,-0.05419922,1.012207,0.0002441406,-0.01203135,-0.3216684,0.2849691,0.9927393,-9.237498E-06,9.484133E-05,-2.250745E-06,1,31,39,81,0 
T0.0399999991059303,2.930738,-0.0267295,-0.001798305,-0.01693878,-0.05859375,1.015137,-0.002441406,-0.01200743,-0.3216616,0.285002,0.9811304,0.000833639,0.0001371385,-0.001342995,0.9999987,31,39,81,0.25 
T0.373333342373371,2.924138,-0.02428611,0.004310169,-0.02793403,-0.05810547,1.014404,-0.001464844,-0.01207091,-0.3216108,0.2848875,0.9678499,0.00099029,0.0003029596,-0.001974646,0.9999975,31,39,81,0.4347294 
T0.563588134944439,2.919164,-0.03405967,0.003088473,-0.02060387,-0.05419922,1.015625,-0.0007324219,-0.01210325,-0.3216382,0.2848662,0.9599123,0.0005579417,0.0003173994,-0.0006599726,0.9999996,31,39,81,0.5760471 
T0.629647433757782,2.908899,-0.03039458,0.006753557,-0.02060387,-0.05224609,1.011475,-0.002197266,-0.01217391,-0.3217102,0.2848632,0.9530352,0.0008777013,0.0004641445,0.0005408678,0.9999994,31,39,81,0.6802198 
T0.676215834915638,2.945229,-0.02062103,0.0006450843,-0.02060387,-0.05395508,1.011475,0.00390625,-0.01216174,-0.3215731,0.2851161,0.9501052,-0.0006718729,0.0003014103,0.000378875,0.9999996,31,39,81,0.7554531 
T0.699586734175682,2.919093,-0.0267295,-0.0005766097,-0.02182556,-0.05639648,1.01709,-0.001464844,-0.01220021,-0.3215486,0.2851557,0.9555813,-7.528142E-05,0.0002799428,-0.0005238872,0.9999998,31,39,81,0.8115094 
T0.718494635075331,2.914149,-0.03039458,-0.003019999,-0.02915573,-0.05541992,1.014893,0.0007324219,-0.01214785,-0.3214689,0.285158,0.9494799,0.0001050619,0.0002423695,-0.0006502495,0.9999998,31,39,81,0.8115094 
T0.734915934503078,2.911424,-0.0267295,0.01041864,-0.02060387,-0.05541992,1.016357,-0.002197266,-0.01207175,-0.3213553,0.2849835,0.9474086,0.0006495359,0.0003393133,-0.0005082794,0.9999996,31,39,81,0.8115094 
T0.747234534472227,2.928646,-0.03039458,-0.003019999,-0.02060387,-0.05615234,1.013428,0.002197266,-0.01203816,-0.3213764,0.2850788,0.9458839,-0.0001738672,0.000263523,-0.0007479571,0.9999997,31,39,81,0.8115094 
T0.758805934339762,2.933864,-0.03039458,0.003088473,-0.02182556,-0.05273438,1.014404,0.001220703,-0.01187103,-0.3213639,0.2850074,0.9503609,-0.0005903338,0.0002445473,0.0001220576,0.9999998,31,39,81,0.8115094 
T0.787110734730959,2.951631,-0.01817764,0.001866779,-0.02060387,-0.05395508,1.011719,-0.002197266,-0.01194243,-0.3213562,0.2850331,0.9541929,0.0005586855,0.0002683245,0.0003017125,0.9999998,31,39,81,0.8115094 
T0.815199535340071,2.958929,-0.02550781,0.003088473,-0.02304725,-0.05224609,1.012207,0.0002441406,-0.01208908,-0.3214241,0.2850894,0.9616981,0.0003942116,0.0002498246,0.0006376156,0.9999997,31,39,81,0.8115094 
T0.840714335441589,2.953937,-0.0279512,0.01286203,-0.01449539,-0.05566406,1.012451,0.0009765625,-0.01213117,-0.321436,0.2850409,0.9660181,-0.0002217514,0.0003147274,-0.0001112849,0.9999999,31,39,81,0.8115094 
T0.868798134848475,2.925061,-0.01939933,0.01408372,-0.03404251,-0.05957031,1.015625,-0.003662109,-0.01217198,-0.3215121,0.2849756,0.9650506,0.001053657,0.0005161483,-0.001823028,0.9999977,31,39,81,0.8115094 
