T2.60056303907186,2.461426,0.2293195,2.706848,0.03561401,0.03166519,0.021698,0.08642578,0.07131958,0.1039734,0.06677246,0.0958252,0.1283569,---,-0.02151943,0.001492869,-0.02357091,0.9994895,-0.0003108939,0.0002762721,-0.0001893267,0.9999999,-0.0007535309,-0.0006230631,-0.0009079207,0.9999991,-0.0005816513,-0.0008369315,-0.001120492,0.9999989,---,-0.02151943,0.001492869,-0.02357091,0.9994895,-0.0003108939,0.0002762721,-0.0001893267,0.9999999,-0.0007535309,-0.0006230631,-0.0009079207,0.9999991,-0.0005816513,-0.0008369315,-0.001120492,0.9999989
T14.3604622343555,12.79675,4.43789,16.55035,0.4313893,3.014681,0.4476053,0.5335265,2.949839,0.08553787,0.3076891,2.801947,0.01767914,---,-0.1157356,0.02204908,-0.1386539,0.9833078,0.00386599,0.02628994,0.003805678,0.9996397,0.004673549,0.0257356,0.000626364,0.9996577,0.00268806,0.02444866,8.85847E-05,0.9996974,---,-0.1157356,0.02204908,-0.1386539,0.9833078,0.003865991,0.02628994,0.003805678,0.9996398,0.004673549,0.0257356,0.000626364,0.9996577,0.00268806,0.02444866,8.85847E-05,0.9996974
T23.043728726916,2.67217,19.88582,28.25967,1.852385,0.7904053,0.7795324,2.706166,1.074524,0.1534729,2.525448,1.138466,0.1332397,---,-0.01986807,0.1730039,-0.2442923,0.9539372,0.01611673,-0.007006524,0.006913095,0.9998217,0.02359995,0.009405861,-0.001560403,0.999676,0.02202425,0.009958025,-0.001381321,0.9997069,---,-0.1363811,0.1082834,0.5017948,0.8472762,0.01635061,0.006441889,0.711869,0.7020924,0.01003673,0.02333863,0.7057744,0.7079811,0.008532109,0.02261488,0.7059228,0.7078763
T31.3689863299951,26.60858,2.224656,49.17206,0.2208358,3.070763,0.3854876,0.0008244919,0.3329428,0.2238064,0.05108643,1.106115,0.2317821,---,-0.2170798,-0.07854775,-0.4007541,0.8866244,0.002016588,0.02678757,0.003311157,0.9996337,-1.520394E-06,0.002905479,0.001953091,0.9999939,-0.0004262518,0.009653402,0.002026888,0.9999513,---,-0.2170798,-0.07854775,-0.4007541,0.8866244,0.002016588,0.02678757,0.003311157,0.9996337,-1.520394E-06,0.002905479,0.001953091,0.9999939,-0.0004262518,0.009653402,0.002026888,0.9999513
T40.4006111612543,26.50488,56.80914,13.31131,10.90848,2.914004,3.313202,1.147043,1.545884,6.448273,1.176316,1.325551,6.514801,---,-0.2539504,-0.4365351,-0.009080454,0.863055,0.09424857,0.02804798,-0.03118464,0.9946648,0.009234248,0.01403086,-0.05636897,0.9982687,0.0095906,0.0121313,-0.05693347,0.9982582,---,0.430702,-0.3022561,-0.3150978,0.7898421,0.769978,0.04188379,-0.002217954,0.6366904,0.7124122,0.0497802,-0.02993757,0.699353,0.7126567,0.04883617,-0.03167992,0.6990936
T49.4992901748046,26.19247,25.75777,68.91467,0.5038353,3.98264,0.598574,0.2089233,4.72028,0.2132906,0.2103882,4.800915,0.1794791,---,-0.3049619,0.05402791,-0.4955702,0.8114737,0.004575568,0.03472433,0.005067538,0.9993737,-0.001744954,0.04118381,0.001934807,0.9991482,-0.001768749,0.04188639,0.001641769,0.9991195,---,-0.3049619,0.05402791,-0.4955702,0.8114737,0.004575568,0.03472433,0.005067538,0.9993737,-0.001744954,0.04118381,0.001934807,0.9991482,-0.001768749,0.04188639,0.001641769,0.9991195
T57.0610208539292,57.29588,27.35858,73.68445,5.584961,10.37283,0.8079553,3.295746,10.19815,3.363586,3.237946,9.34824,3.382355,---,0.4972385,0.1132267,-0.4205488,0.7503815,-0.04788135,0.09062896,0.01141736,0.9946675,-0.03123813,0.08796258,-0.0266655,0.9952767,-0.03055027,0.08058929,-0.02710128,0.9959104,---,0.05422782,0.6106632,-0.6489736,0.4505365,-0.02578394,0.7674205,0.04193052,0.6392518,-0.04094404,0.7659658,0.003233338,0.6415679,-0.0407658,0.7612002,0.002438799,0.6472297
T71.9688926516101,34.89697,56.28273,79.91885,0.2436851,2.284194,0.7043723,0.2121277,3.084114,0.5143589,0.2423401,3.128453,0.578887,---,-0.4916401,0.1750729,-0.4318641,0.7356174,0.002248606,0.01991855,0.006103148,0.9997804,-0.001729665,0.02691871,0.004536795,0.9996259,-0.00197618,0.02730778,0.005107558,0.9996121,---,-0.4916401,0.1750729,-0.4318641,0.7356174,0.002248606,0.01991855,0.006103149,0.9997805,-0.001729665,0.02691871,0.004536795,0.9996259,-0.00197618,0.02730778,0.005107558,0.9996121
T83.02681749966,69.60495,96.16071,119.2075,10.80398,5.51944,5.406128,2.851025,0.08171972,10.76431,2.887396,0.1626613,10.74881,---,-0.7199371,-0.01975371,-0.2582982,0.6438808,0.09618963,-0.04344588,-0.04236827,0.9935115,0.02470076,0.003043222,-0.09378682,0.9952812,0.02495092,0.003772612,-0.09366928,0.9952835,---,0.02555412,-0.2132098,-0.2022268,0.9555066,0.7351027,-0.2435175,0.2388102,0.5859122,0.6908904,-0.1993799,0.216724,0.6602643,0.6908262,-0.1989132,0.2173457,0.6602679
T91.6420863410458,17.28116,74.60529,105.7115,0.476648,3.165867,0.5382519,0.3327332,5.491171,0.07040107,0.3273926,5.807033,0.09430536,---,-0.5497501,0.2665204,-0.5718911,0.5474326,0.004287644,0.02760382,0.004580383,0.9995993,-0.002870886,0.04790274,0.0007527455,0.9988476,-0.002811764,0.05065636,0.0009666347,0.9987118,---,-0.5497501,0.2665204,-0.5718911,0.5474326,0.004287644,0.02760382,0.004580383,0.9995993,-0.002870886,0.04790274,0.0007527455,0.9988476,-0.002811764,0.05065636,0.0009666347,0.9987118
